base,strength,damage,min,first scale,BP,command,description
c,L|M|H,600|1100|1400,0.2,1,0,,近距離攻撃
f,L|M|H,600|900|400/900,0.2,1,0,,遠距離
2,L|M|H|U,400|900|1300|1000,0.2,1,0,,しゃがみ
J,L|M|H|U,400|800|1000|900|300/300/300/300/300/300,0.2,1,0,,ジャンプ攻撃
236,L|M|H|U,800|800|400/400/400|1600,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,波動コマンド
214,L|M|H|U,1000|1200|1500|2000/200/200,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,竜巻コマンド
22,U,1600,0.4,1,0,c,
623,L|M|H|U,600/200/200|600/200/200/200|600/300/300/300|200/100/100/100/100/100/100/100/100/100/100/100/700,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,昇竜
j214,L|M|H|U,500/100/100/100/100/50/50/50/50/50/50/50/50/50/50/50/50|700/100/100/100/100/50/50/50/50/50/50/50/50/50/50/50/50|800/100/100/100/100/50/50|400/200/200/200/200/200/200/200/200/700,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,空中竜巻
D,L|M|H,600|1100|1200,0.2,0.7|1|1,0,,ダッシュアタック
,U,700,0.2,1,0,,リフレクションガスト
SBA,,350/350/350/350/350/350/350/350/350/350/1000,0.5,0.7,1,c,奥義
SSBA,,2500/2500,0.5,0.7,2,c,解放奥義
