base,strength,damage,min,first scale,BP,command,
c,L|M|H,600|1100|1600,0.2,1,0,,
f,L|M|H,600|900|1300,0.2,1,0,,
2,L|M|H|U,400|900|1300|1000,0.2,1,0,,
J,L|M|H|U,400|800|1000|900,0.2,1,0,,
236,L|M|H,200/200/200/400|200/200/200/200/600|200/200/200/200/700,0.2,1,0,c,
214,L|M|H,1000|1100|700/800,0.2,1,0,c,
22,L|M|H,200/200/200/200/200|200/200/200/200/200|400/400/400,0.2,1,0,c,
623,L|M|H,1000|700/400|700/400/400,0.2,1,0,c,
D,L|M|H,600|1100|1200,0.2,0.7|1|1,0,,
236,U,200/200/200/200/300/300/300/900,0.4,0.7,0,c,
22,U,500/500/600,0.4,0.7,0,c,
214,U,1300/1300,0.4,0.7,0,c,
623,U,700/200/200/200/700,0.4,0.7,0,c,
5,U,500/200/200/200/200/200,0.2,0.6,0,0,
SBA,,1600,0.5,0.6,1,c,
SSBA,,1000/1500/2500,0.5,0.6,2,c,
236c,L|M|H|U,200/200/200/400|200/200/200/200/700|200/200/200/200/900|200/200/200/200/300/300/300/900,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,変身後
214c,L|M|H|U,1000|1200|700/1000|1400/1400,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,変身後
22c,L|M|H|U,200/200/200/200/200|200/200/200/200/200|100/100/400/400/400|500/500/600/200,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,変身後
623c,L|M|H|U,1000|700/1000|700/400/400/100|700/200/200/200/700/200,0.2|0.2|0.2|0.4,1|1|1|0.7,0,c,変身後
cSBA,,1200/200/200/200/200/200/200/200/200/200/200/200/200/200/200/200,0.5,0.6,0,c,変身後
cSSBA,,500/500/1500/100/100/100/100/100/100/100/100/100/100/100/100/100/100/100/200/500/500,0.5,0.6,0,c,変身後
5c,U,1200,0.2,1,0,,変身後
jc,U,1200,0.2,1,0,,変身後
